DATE,VALUE
2013-06-07,26.389999
2013-06-06,25.879999
2013-06-05,26.110001
2013-06-04,26.459999
2013-06-03,26.370001
2013-05-31,26.200001
2013-05-30,25.83
2013-05-29,25.9
2013-05-28,26.65
2013-05-24,25.9
2013-05-23,25.950001
2013-05-22,27.07
2013-05-21,26.9
2013-05-20,26.68
2013-05-17,26.780001
2013-05-16,27.43
2013-05-15,26.629999
2013-05-14,26.75
2013-05-13,26.76
2013-05-10,26.32
2013-05-09,26.41
2013-05-08,26.17
2013-05-07,26.01
2013-05-06,25.049999
2013-05-03,25.129999
2013-05-02,24.34
2013-05-01,24.67
2013-04-30,24.379999
2013-04-29,24.85
2013-04-26,25.139999
2013-04-25,24.93
2013-04-24,24.450001
2013-04-23,23.959999
2013-04-22,23.709999
2013-04-19,23.120001
2013-04-18,23.66
2013-04-17,23.450001
2013-04-16,24.059999
2013-04-15,24.719999
2013-04-12,24.58
2013-04-11,24.41
2013-04-10,24.0
2013-04-09,23.559999
2013-04-08,23.24
2013-04-05,23.18
2013-04-04,23.49
2013-04-03,23.780001
2013-04-02,23.77
2013-04-01,23.309999
2013-03-28,23.629999
2013-03-27,23.540001
2013-03-26,23.459999
2013-03-25,23.41
2013-03-22,22.879999
2013-03-21,22.389999
2013-03-20,22.030001
2013-03-19,22.059999
2013-03-18,21.9
2013-03-15,22.34
2013-03-14,22.469999
2013-03-13,22.48
2013-03-12,22.51
2013-03-11,22.799999
2013-03-08,22.92
2013-03-07,22.92
2013-03-06,23.08
2013-03-05,22.91
2013-03-04,22.370001
2013-03-01,21.360001
2013-02-28,21.059999
2013-02-27,20.809999
2013-02-26,20.68
2013-02-25,21.26
2013-02-22,20.870001
2013-02-21,20.92
2013-02-20,21.309999
2013-02-19,21.030001
2013-02-15,21.15
2013-02-14,21.1
2013-02-13,21.15
2013-02-12,20.940001
2013-02-11,20.440001
2013-02-08,20.379999
2013-02-07,20.1
2013-02-06,19.629999
2013-02-05,19.49
2013-02-04,19.76
2013-02-01,19.77
2013-01-31,19.92
2013-01-30,19.92
2013-01-29,20.870001
2013-01-28,20.5
2013-01-25,20.43
2013-01-24,20.08
2013-01-23,19.98
2013-01-22,19.91
2013-01-18,20.07
2013-01-17,20.139999
2013-01-16,19.91
2013-01-15,19.280001
2013-01-14,19.33
2013-01-11,19.049999
2013-01-10,19.190001
2013-01-09,19.73
2013-01-08,19.32
2013-01-07,19.559999
2013-01-04,19.76
2013-01-03,20.049999
2013-01-02,20.200001
2012-12-31,19.43
2012-12-28,19.440001
2012-12-27,19.540001
2012-12-26,19.700001
2012-12-24,19.450001
2012-12-21,19.49
2012-12-20,19.58
2012-12-19,19.59
2012-12-18,19.719999
2012-12-17,19.719999
2012-12-14,19.4
2012-12-13,19.440001
2012-12-12,19.559999
2012-12-11,19.530001
2012-12-10,19.18
2012-12-07,19.16
2012-12-06,18.780001
2012-12-05,18.98
2012-12-04,18.639999
2012-12-03,18.549999
2012-11-30,18.9
2012-11-29,18.950001
2012-11-28,18.780001
2012-11-27,18.870001
2012-11-26,18.879999
2012-11-23,18.5
2012-11-21,18.24
2012-11-20,18.440001
2012-11-19,18.02
2012-11-16,17.91
2012-11-15,17.82
2012-11-14,17.9
2012-11-13,17.42
2012-11-12,17.18
2012-11-09,17.219999
2012-11-08,17.299999
2012-11-07,17.24
2012-11-06,17.440001
2012-11-05,17.1
2012-11-02,17.0
2012-11-01,16.9
2012-10-31,16.809999
2012-10-26,16.540001
2012-10-25,16.719999
2012-10-24,16.780001
2012-10-23,16.530001
2012-10-22,15.81
2012-10-19,16.0
2012-10-18,16.23
2012-10-17,15.85
2012-10-16,15.82
2012-10-15,15.85
2012-10-12,15.9
2012-10-11,15.94
2012-10-10,15.83
2012-10-09,16.030001
2012-10-08,16.02
2012-10-05,16.27
2012-10-04,16.219999
2012-10-03,16.0
2012-10-02,16.030001
2012-10-01,16.0
2012-09-28,16.01
2012-09-27,15.9
2012-09-26,15.71
2012-09-25,16.09
2012-09-24,15.69
2012-09-21,15.72
2012-09-20,15.76
2012-09-19,15.96
2012-09-18,15.65
2012-09-17,15.81
2012-09-14,15.7
2012-09-13,15.38
2012-09-12,15.3
2012-09-11,15.09
2012-09-10,15.19
2012-09-07,15.12
2012-09-06,15.13
2012-09-05,14.86
2012-09-04,14.64
2012-08-31,14.79
2012-08-30,14.81
2012-08-29,14.73
2012-08-28,14.84
2012-08-27,14.92
2012-08-24,14.82
2012-08-23,14.9
2012-08-22,14.95
2012-08-21,14.95
2012-08-20,14.99
2012-08-17,15.02
2012-08-16,14.81
2012-08-15,14.77
2012-08-14,15.04
2012-08-13,15.03
2012-08-10,15.25
2012-08-09,16.16
2012-08-08,16.15
2012-08-07,16.09
2012-08-06,16.0
2012-08-03,15.89
2012-08-02,15.86
2012-08-01,15.86
2012-07-31,16.0
2012-07-30,16.15
2012-07-27,15.88
2012-07-26,15.69
2012-07-25,15.52
2012-07-24,15.74
2012-07-23,15.7
2012-07-20,15.75
